Book,AudioFile,Question,EndTrial,thisN,thisTrialN,thisRepN,audiobook_trials.thisRepN,audiobook_trials.thisTrialN,audiobook_trials.thisN,audiobook_trials.thisIndex,trials_bip1.thisRepN,trials_bip1.thisTrialN,trials_bip1.thisN,trials_bip1.thisIndex,thisRow.t,notes,Instructions.started,instruction_text.started,key_resp_instruction.started,Instructions.stopped,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,Bips.started,pip.started,polygon.started,pip.stopped,polygon.stopped,Bips.stopped,AudioBook.started,audiobook.started,fixation.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0813514000037685,0.09149739998974837,0.09149739998974837,9.527497900009621,space,9.42681229999289,None,,,,,,,,,,626952,001,2025-12-16_18h16.28.661,audiobook_experiment,,2025.2.3,60.00229208056241,2025-12-16 18h16.29.021320 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\audio01.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar...",Apretá la barra espaciadora para continuar con el segundo cuento...,0,0,0,0,0,0,0,0,0,0,0,9.541959299996961,,,,,,,,,9.533865300007164,9.542064266661571,9.541959299996961,10.575432200013893,10.575432200013893,10.55892519999179,,,,626952,001,2025-12-16_18h16.28.661,audiobook_experiment,,2025.2.3,60.00229208056241,2025-12-16 18h16.29.021320 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\audio01.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar...",Apretá la barra espaciadora para continuar con el segundo cuento...,1,0,1,0,0,0,0,1,0,1,0,10.575432200013893,,,,,,,,,10.560986199998297,10.57541766667079,10.575432200013893,11.608788400015328,11.608788400015328,11.592326799989678,,,,626952,001,2025-12-16_18h16.28.661,audiobook_experiment,,2025.2.3,60.00229208056241,2025-12-16 18h16.29.021320 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\audio01.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar...",Apretá la barra espaciadora para continuar con el segundo cuento...,2,0,2,0,0,0,0,2,0,2,0,11.608788400015328,,,,,,,,,11.594218500016723,11.608803466664783,11.608788400015328,12.642385799990734,12.642385799990734,12.625682100013364,,,,626952,001,2025-12-16_18h16.28.661,audiobook_experiment,,2025.2.3,60.00229208056241,2025-12-16 18h16.29.021320 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\audio01.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar...",Apretá la barra espaciadora para continuar con el segundo cuento...,3,0,3,0,0,0,0,3,0,3,0,12.642385799990734,,,,,,,,,12.62759879999794,12.642158466657081,12.642385799990734,13.675525800004834,13.675525800004834,13.658990800002357,,,,626952,001,2025-12-16_18h16.28.661,audiobook_experiment,,2025.2.3,60.00229208056241,2025-12-16 18h16.29.021320 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\audio01.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar...",Apretá la barra espaciadora para continuar con el segundo cuento...,4,0,4,0,0,0,0,4,0,4,0,13.675525800004834,,,,,,,,,13.660878599999705,13.675390666674746,13.675525800004834,14.708879400015576,14.708879400015576,14.692471299989847,,,,626952,001,2025-12-16_18h16.28.661,audiobook_experiment,,2025.2.3,60.00229208056241,2025-12-16 18h16.29.021320 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\audio01.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar...",Apretá la barra espaciadora para continuar con el segundo cuento...,5,0,5,0,0,0,0,5,0,5,0,14.708879400015576,,,,,,,,,14.694368399999803,14.708894966668838,14.708879400015576,15.742595399991842,15.742595399991842,15.725911699992139,,,,626952,001,2025-12-16_18h16.28.661,audiobook_experiment,,2025.2.3,60.00229208056241,2025-12-16 18h16.29.021320 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\audio01.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar...",Apretá la barra espaciadora para continuar con el segundo cuento...,6,0,6,0,0,0,0,6,0,6,0,15.742595399991842,,,,,,,,,15.727838499995414,15.742277866669854,15.742595399991842,16.77564639999764,16.77564639999764,16.759101600007853,,,,626952,001,2025-12-16_18h16.28.661,audiobook_experiment,,2025.2.3,60.00229208056241,2025-12-16 18h16.29.021320 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\audio01.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar...",Apretá la barra espaciadora para continuar con el segundo cuento...,7,0,7,0,0,0,0,7,0,7,0,16.77564639999764,,,,,,,,,16.760991000017384,16.775482566681845,16.77564639999764,17.808973000006517,17.808973000006517,17.792509599996265,,,,626952,001,2025-12-16_18h16.28.661,audiobook_experiment,,2025.2.3,60.00229208056241,2025-12-16 18h16.29.021320 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\audio01.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar...",Apretá la barra espaciadora para continuar con el segundo cuento...,8,0,8,0,0,0,0,8,0,8,0,17.808973000006517,,,,,,,,,17.79440740001155,17.808988266657494,17.808973000006517,18.842242400016403,18.842242400016403,18.82587999998941,,,,626952,001,2025-12-16_18h16.28.661,audiobook_experiment,,2025.2.3,60.00229208056241,2025-12-16 18h16.29.021320 -0300,
